"pub_name","venue_name","pub_year","pub_date","pub_vol","pub_type","isbn","city","edition_number","venue_type"
"IEEE Communications Surveys and Tutorials","IEEE Communications Surveys and Tutorials","2020","2020-06-19","18","Journal","nan","","",""
"AGIT Journal Angew. Geoinformatik","AGIT Journal Angew. Geoinformatik","2020","","48","Journal","nan","","",""
"Annual Conference on Medical Image Understanding and Analysis","Annual Conference on Medical Image Understanding and Analysis","2020","","5","Journal","nan","","",""
"2020 IEEE Intelligent Vehicles Symposium (IV)","2020 IEEE Intelligent Vehicles Symposium (IV)","2020","2020-10-19","13","Journal","nan","","",""
"2020 International Conference on Computation, Automation and Knowledge Management (ICCAKM)","2020 International Conference on Computation, Automation and Knowledge Management (ICCAKM)","2020","2020-01-01","Vol. XY","Proceedings","978-319936524","Paris","2021.0","Conference"
"BMC Genomics","BMC Genomics","2020","2020-07-16","8","Journal","nan","","",""
"American Naturalist","American Naturalist","2020","2020-06-16","11","Journal","nan","","",""
"2020 5th International Conference on Computer Science and Engineering (UBMK)","2020 5th International Conference on Computer Science and Engineering (UBMK)","2020","2020-09-01","Vol. XY","Proceedings","978-264768628","Barcelona","2021.0","Conference"
"Neuroscience","Neuroscience","2020","2020-02-17","47","Journal","nan","","",""
"IEEE Systems Journal","IEEE Systems Journal","2020","2020-12-29","5","Journal","nan","","",""
"WorldCIST","WorldCIST","2020","2020-04-07","8","Journal","nan","","",""
"International Conference on Artificial Intelligence Circuits and Systems","International Conference on Artificial Intelligence Circuits and Systems","2020","2020-08-01","Vol. XY","Proceedings","978-230650189","Rome","2022.0","Conference"
"Journal of Aerospace Information Systems","Journal of Aerospace Information Systems","2020","2020-01-01","44","Journal","nan","","",""
"International Journal of Emerging Technologies in Learning (iJET)","International Journal of Emerging Technologies in Learning (iJET)","2020","2020-12-22","33","Journal","nan","","",""
"Theoretical Computer Science","Theoretical Computer Science","2020","2020-01-09","47","Journal","nan","","",""
"International ICST Conference on Simulation Tools and Techniques","International ICST Conference on Simulation Tools and Techniques","2020","","18","Journal","nan","","",""
"Computers in Human Behavior","Computers in Human Behavior","2020","2020-03-01","29","Journal","nan","","",""
"International Conference on Computing Communication and Networking Technologies","International Conference on Computing Communication and Networking Technologies","2020","2020-07-01","Vol. XY","Proceedings","978-757204173","Sydney","2018.0","Conference"
"ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play","ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play","2020","2020-11-02","38","Journal","nan","","",""
"Journal of Healthcare Engineering","Journal of Healthcare Engineering","2020","2020-08-22","41","Journal","nan","","",""
"2020 IEEE 31st Annual International Symposium on Personal, Indoor and Mobile Radio Communications","2020 IEEE 31st Annual International Symposium on Personal, Indoor and Mobile Radio Communications","2020","2020-08-01","15","Journal","nan","","",""
"International Journal of Medical Informatics","Medical Informatics","2020","2020-06-01","32","Journal","nan","","",""
"Journal of Animal Ecology","Journal of Animal Ecology","2020","2020-11-17","6","Journal","nan","","",""
"Neural Computing and Applications","Neural Computing and Applications","2020","2020-01-20","47","Journal","nan","","",""
"International Baltic Conference on Databases and Information Systems","International Baltic Conference on Databases and Information Systems","2020","2020-06-16","42","Journal","nan","","",""
"Annual Meeting of the Cognitive Science Society","Annual Meeting of the Cognitive Science Society","2020","","21","Journal","nan","","",""
"Computer Science and Information Systems","Computer Science and Information Systems","2020","","4","Journal","nan","","",""
"International Convention on Information and Communication Technology, Electronics and Microelectronics","International Convention on Information and Communication Technology, Electronics and Microelectronics","2020","2020-09-28","49","Journal","nan","","",""
"International Conference on Communication, Computing & Security","International Conference on Communication, Computing & Security","2020","2020-10-14","Vol. XY","Proceedings","978-931229427","New York","2021.0","Workshop"
"Journal of Computational Physics","Journal of Computational Physics","2020","2020-12-18","17","Journal","nan","","",""
"Genetic Epidemiology","Genetic Epidemiology","2020","2020-07-22","21","Journal","nan","","",""
"AAAI Conference on Artificial Intelligence","AAAI Conference on Artificial Intelligence","2020","2020-02-16","abs/2002.06659","Proceedings","978-286041814","Paris","2019.0","Conference"
"ACM Transactions on Storage","ACM Transactions on Storage","2020","2020-02-28","35","Journal","nan","","",""
"IEEE International Symposium on Safety, Security and Rescue Robotics","IEEE International Symposium on Safety, Security and Rescue Robotics","2020","2020-11-04","1","Journal","nan","","",""
"Computing","Computing","2020","2020-10-06","1","Journal","nan","","",""
"Computer methods and programs in biomedicine","Computer methods and programs in biomedicine","2020","2020-01-14","21","Journal","nan","","",""
"Information and Communication Technologies for Development","Information and Communication Technologies for Development","2020","","31","Journal","nan","","",""
"Sworld-Us conference proceedings","Sworld-Us conference proceedings","2020","2020-03-30","Vol. XY","Proceedings","978-262125948","New York","2018.0","Conference"
"Jurnal Teknik Sipil Terapan","Jurnal Teknik Sipil Terapan","2020","2020-06-20","46","Journal","nan","","",""
"Technological Ecosystem for Enhancing Multiculturality","Technological Ecosystem for Enhancing Multiculturality","2020","2020-10-21","38","Journal","nan","","",""
"Workshop on Innovating the Network for Data-Intensive Science","Workshop on Innovating the Network for Data-Intensive Science","2020","2020-11-01","6","Journal","nan","","",""
"IEEE Transactions on Wireless Communications","IEEE Transactions on Wireless Communications","2020","2020-05-03","15","Journal","nan","","",""
"Discrete Applied Mathematics","Discrete Applied Mathematics","2020","2020-06-15","18","Journal","nan","","",""
"Proceedings of the IEEE. Institute of Electrical and Electronics Engineers","International Proceedings of the IEEE. Institute of Electrical and Electronics Engineers","2020","2020-02-20","31","Journal","nan","","",""
"Simulation modelling practice and theory","Simulation modelling practice and theory","2020","2020-09-01","7","Journal","nan","","",""
"IEEE Transactions on Circuits and Systems II: Express Briefs","IEEE Transactions on Circuits and Systems II: Express Briefs","2020","2020-10-09","49","Journal","nan","","",""
"IEEE Conference on Communications and Network Security","IEEE Conference on Communications and Network Security","2020","2020-06-01","Vol. XY","Proceedings","978-685999184","Sydney","2020.0","Workshop"
"IIAI International Conference on Advanced Applied Informatics","IIAI International Conference on Advanced Applied Informatics","2020","2020-09-01","5","Journal","nan","","",""
"Canadian Journal of School Psychology","Canadian Journal of School Psychology","2020","2020-12-17","3","Journal","nan","","",""
"IEEE Communications Letters","IEEE Communications Letters","2020","2020-07-14","20","Journal","nan","","",""
"Proceedings of the International Academic Conference on Frontiers in Social Sciences and Management Innovation (IAFSM 2019)","International Academic Conference on Frontiers in Social Sciences and Management Innovation (IAFSM 2019)","2020","2020-02-17","Vol. XY","Proceedings","978-511261688","Rome","2019.0","Conference"
"AKCE Int. J. Graphs Comb.","AKCE Int. J. Graphs Comb.","2020","2020-06-01","10","Journal","nan","","",""
"Journal of Chemical Physics","Journal of Chemical Physics","2020","2020-03-21","49","Journal","nan","","",""
"International Conference on Crowd Science and Engineering","International Conference on Crowd Science and Engineering","2021","2021-08-17","Vol. XY","Proceedings","978-548010841","Paris","2021.0","Conference"
"Proceedings of the 5th International Conference on Learning Innovation and Quality Education","International Conference on Learning Innovation and Quality Education","2021","2021-09-04","19","Journal","nan","","",""
"International Conference on Frontiers of Electronics, Information and Computation Technologies","International Conference on Frontiers of Electronics, Information and Computation Technologies","2021","2021-05-21","Vol. XY","Proceedings","978-445889575","Tokyo","2022.0","Conference"
"IEEE Transactions on Circuits and Systems for Video Technology","IEEE Transactions on Circuits and Systems for Video Technology","2021","2021-02-05","16","Journal","nan","","",""
"American Control Conference","American Control Conference","2021","2021-05-25","Vol. XY","Proceedings","978-390855463","Tokyo","2021.0","Conference"
"Ecological Informatics","Ecological Informatics","2021","2021-09-01","23","Journal","nan","","",""
"IEEE Transactions on robotics","IEEE Transactions on robotics","2021","2021-09-02","30","Journal","nan","","",""
"IEEE International Conference on Bioinformatics and Biomedicine","IEEE International Conference on Bioinformatics and Biomedicine","2021","2021-12-09","Vol. XY","Proceedings","978-678910209","Sydney","2019.0","Conference"
"Chaos","Chaos","2021","2021-09-22","14","Journal","nan","","",""
"International journal of information technology","International journal of information technology","2021","2021-03-01","15","Journal","nan","","",""
"2021 IEEE 5th Conference on Energy Internet and Energy System Integration (EI2)","2021 IEEE 5th Conference on Energy Internet and Energy System Integration (EI2)","2021","2021-10-22","Vol. XY","Proceedings","978-545145704","Rome","2020.0","Conference"
"Royal Society Open Science","Royal Society Open Science","2021","2021-11-29","21","Journal","nan","","",""
"Personal and Ubiquitous Computing","Personal and Ubiquitous Computing","2021","2021-01-02","11","Journal","nan","","",""
"IEEE Internet of Things Journal","IEEE Internet of Things Journal","2021","2021-08-15","10","Journal","nan","","",""
"Discret. Math. Algorithms Appl.","Discret. Math. Algorithms Appl.","2021","2021-02-24","44","Journal","nan","","",""
"E3S Web of Conferences","E3S Web of Conferences","2021","","Vol. XY","Proceedings","978-593988280","New York","2020.0","Workshop"
"2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS","2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS","2021","2021-07-11","25","Journal","nan","","",""
"2021 IEEE International Conference on Cloud Engineering (IC2E)","2021 IEEE International Conference on Cloud Engineering (IC2E)","2021","2021-10-01","Vol. XY","Proceedings","978-183562302","Paris","2019.0","Conference"
"Pattern Recognition","Pattern Recognition","2021","2021-04-01","38","Journal","nan","","",""
"Proceedings of the 7th International Conference on Humanities and Social Science Research (ICHSSR 2021)","International Conference on Humanities and Social Science Research (ICHSSR 2021)","2021","2021-05-20","Vol. XY","Proceedings","978-666855418","Toronto","2021.0","Conference"
"International Conference on Real-time Computing and Robotics","International Conference on Real-time Computing and Robotics","2021","2021-07-15","Vol. XY","Proceedings","978-874474241","New York","2020.0","Conference"
"Bioinformatics","Bioinformatics","2021","2021-01-26","14","Journal","nan","","",""
"International Conference on Service Operations and Logistics, and Informatics","International Conference on Service Operations and Logistics, and Informatics","2021","2021-12-11","Vol. XY","Proceedings","978-242842835","Tokyo","2021.0","Conference"
"Artificial intelligence in medicine","Artificial intelligence in medicine","2021","2021-12-05","3","Journal","nan","","",""
"International Journal of Bifurcation and Chaos in Applied Sciences and Engineering","International Journal of Bifurcation and Chaos in Applied Sciences and Engineering","2021","2021-09-25","45","Journal","nan","","",""
"IEEE Uttar Pradesh Section International Conference on Electrical, Computer and Electronics Engineering","IEEE Uttar Pradesh Section International Conference on Electrical, Computer and Electronics Engineering","2021","2021-11-11","Vol. XY","Proceedings","978-444020993","Tokyo","2020.0","Conference"
"Electronics","Electronics","2021","2021-01-18","4","Journal","nan","","",""
"Frontiers in Digital Health","Frontiers in Digital Health","2021","2021-10-15","31","Journal","nan","","",""
"International Journal of Business Information Systems","International Journal of Business Information Systems","2021","","7","Journal","nan","","",""
"PROCEEDINGS OF 8TH INTERNATIONAL CONFERENCE ON ADVANCED MATERIALS ENGINEERING & TECHNOLOGY (ICAMET 2020)","PROCEEDINGS OF 8TH INTERNATIONAL CONFERENCE ON ADVANCED MATERIALS ENGINEERING & TECHNOLOGY (ICAMET 2020)","2021","2021-07-21","Vol. XY","Proceedings","978-789636162","New York","2022.0","Conference"
"International Journal of Human Capital and Information Technology Professionals","International Journal of Human Capital and Information Technology Professionals","2021","","1","Journal","nan","","",""
"ISA transactions","ISA transactions","2021","2021-01-06","1","Journal","nan","","",""
"Journal of Open Source Software","Journal of Open Source Software","2021","2021-03-31","42","Journal","nan","","",""
"2ND INTERNATIONAL CONFERENCE ON ENGINEERING & SCIENCE","2ND INTERNATIONAL CONFERENCE ON ENGINEERING & SCIENCE","2021","","Vol. XY","Proceedings","978-620640276","Sydney","2021.0","Conference"
"SHS Web of Conferences","SHS Web of Conferences","2021","","Vol. XY","Proceedings","978-394855991","Tokyo","2018.0","Conference"
"Cybernetics and systems","Cybernetics and systems","2021","2021-12-01","8","Journal","nan","","",""
"International Journal of Communication Systems","International Journal of Communication Systems","2021","2021-02-02","41","Journal","nan","","",""
"2021 IEEE 25th International Enterprise Distributed Object Computing Workshop (EDOCW)","2021 IEEE 25th International Enterprise Distributed Object Computing Workshop (EDOCW)","2021","2021-10-01","18","Journal","nan","","",""
"International Conference on Cloud Computing and Intelligence Systems","International Conference on Cloud Computing and Intelligence Systems","2021","2021-11-07","Vol. XY","Proceedings","978-104727463","Sydney","2022.0","Conference"
"Proceedings of 23rd Scientific Conference “Scientific Services & Internet – 2021”","International Proceedings of 23rd Scientific Conference “Scientific Services & Internet – 2021”","2021","","Vol. XY","Proceedings","978-675166688","Sydney","2020.0","Conference"
"Soft Computing - A Fusion of Foundations, Methodologies and Applications","Soft Computing - A Fusion of Foundations, Methodologies and Applications","2021","2021-07-09","49","Journal","nan","","",""
"ACM Symposium on Applied Computing","ACM Symposium on Applied Computing","2021","2021-03-22","2","Journal","nan","","",""
"Frontiers in Robotics and AI","Frontiers in Robotics and AI","2021","2021-02-18","43","Journal","nan","","",""
"AJR. American journal of roentgenology","AJR. American journal of roentgenology","2021","2021-07-21","36","Journal","nan","","",""
"International Design and Test Workshop/Symposium","International Design and Test Workshop/Symposium","2021","2021-06-22","Vol. XY","Proceedings","978-417161067","New York","2020.0","Conference"
"IEEE International Workshop on Multimedia Signal Processing","IEEE International Workshop on Multimedia Signal Processing","2021","2021-10-06","18","Journal","nan","","",""
"Conference of the European Chapter of the Association for Computational Linguistics","Conference of the European Chapter of the Association for Computational Linguistics","2021","2021-03-12","Vol. XY","Proceedings","978-943885562","Tokyo","2020.0","Workshop"
"Journal of Scientific Computing","Journal of Scientific Computing","2021","2021-10-16","29","Journal","nan","","",""
"Symmetry","Symmetry","2021","2021-03-26","48","Journal","nan","","",""
"International Journal of Computer Science in Sport","International Journal of Computer Science in Sport","2021","2021-11-28","31","Journal","nan","","",""
"Journal of Web Semantics","Journal of Web Semantics","2021","2021-10-01","14","Journal","nan","","",""
"Int. J. Adv. Intell. Paradigms","Int. J. Adv. Intell. Paradigms","2021","2021-01-25","41","Journal","nan","","",""
"International Conference on Vehicle Technology and Intelligent Transport Systems","International Conference on Vehicle Technology and Intelligent Transport Systems","2021","","30","Journal","nan","","",""
"Methods and Protocols","Methods and Protocols","2021","2021-09-27","34","Journal","nan","","",""
"2021 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW)","2021 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW)","2021","2021-08-16","Vol. XY","Proceedings","978-438534426","Paris","2018.0","Workshop"
"International Conference on Measuring Technology and Mechatronics Automation","International Conference on Measuring Technology and Mechatronics Automation","2021","2021-01-01","Vol. XY","Proceedings","978-169698999","Sydney","2021.0","Conference"
"European Conference on Software Architecture","European Conference on Software Architecture","2021","","38","Journal","nan","","",""
"International Conference on Artificial Intelligence and Computer Science Technology","International Conference on Artificial Intelligence and Computer Science Technology","2021","2021-06-29","Vol. XY","Proceedings","978-192075013","Barcelona","2021.0","Conference"
"IEEE Conference on Computer Communications","IEEE Conference on Computer Communications","2021","2021-05-10","Vol. XY","Proceedings","978-197749376","Rome","2021.0","Conference"
"2021 IEEE 12th International Conference on Software Engineering and Service Science (ICSESS)","2021 IEEE 12th International Conference on Software Engineering and Service Science (ICSESS)","2021","2021-08-20","Vol. XY","Proceedings","978-213476741","Barcelona","2018.0","Conference"
"International Workshop on Spoken Language Translation","International Workshop on Spoken Language Translation","2021","2021-09-27","42","Journal","nan","","",""
"Australasian Computer-Human Interaction Conference","Australasian Computer-Human Interaction Conference","2021","2021-11-30","5","Journal","nan","","",""
"FLAP","FLAP","2021","","31","Journal","nan","","",""
"Spanish Computer Graphics Conference","Spanish Computer Graphics Conference","2021","","36","Journal","nan","","",""
"Data Science","Data Science","2021","2021-05-04","18","Journal","nan","","",""
"SMART","SMART","2021","2021-12-10","Vol. XY","Proceedings","978-315788046","Barcelona","2021.0","Conference"
"Journal of Philosophical Logic","Journal of Philosophical Logic","2021","2021-08-09","31","Journal","nan","","",""
"IEEE Computer Security Foundations Symposium","IEEE Computer Security Foundations Symposium","2021","2021-06-01","13","Journal","nan","","",""
"Computers and Mathematics with Applications","Computers and Mathematics with Applications","2021","2021-06-02","13","Journal","nan","","",""
"International Conference on Signal Processing and Machine Learning","International Conference on Signal Processing and Machine Learning","2021","2021-11-01","Vol. XY","Proceedings","978-851752734","Barcelona","2021.0","Conference"
"Computers & industrial engineering","Computers & industrial engineering","2021","2021-11-01","13","Journal","nan","","",""
"International Conference on Web and Social Media","International Conference on Web and Social Media","2021","2021-05-22","24","Journal","nan","","",""
"Microprocessors and microsystems","Microprocessors and microsystems","2021","2021-06-01","36","Journal","nan","","",""
"Proceedings of the 6th International Conference on Information and Education Innovations","International Conference on Information and Education Innovations","2021","2021-04-16","15","Journal","nan","","",""
"Journal of Visual Communication and Image Representation","Journal of Visual Communication and Image Representation","2021","","30","Journal","nan","","",""
"Symposium on VLSI Circuits","Symposium on VLSI Circuits","2021","2021-06-13","34","Journal","nan","","",""
"International ITG Workshop on Smart Antennas","International ITG Workshop on Smart Antennas","2021","","14","Journal","nan","","",""
"International Conference on Information Systems and Computer Aided Education","International Conference on Information Systems and Computer Aided Education","2021","2021-09-24","42","Journal","nan","","",""
"Middle East and North Africa Communications Conference","Middle East and North Africa Communications Conference","2021","2021-12-03","Vol. XY","Proceedings","978-287336423","Rome","2019.0","Conference"
"2021 21st ACIS International Winter Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD-Winter)","2021 21st ACIS International Winter Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD-Winter)","2021","2021-01-01","Vol. XY","Proceedings","978-194709778","Berlin","2019.0","Conference"
"2021 Ural-Siberian Smart Energy Conference (USSEC)","2021 Ural-Siberian Smart Energy Conference (USSEC)","2021","2021-11-13","Vol. XY","Proceedings","978-165085040","Rome","2018.0","Conference"
"Computational optimization and applications","Computational optimization and applications","2021","2021-01-02","45","Journal","nan","","",""
"2021 Asia-Pacific Conference on Communications Technology and Computer Science (ACCTCS)","2021 Asia-Pacific Conference on Communications Technology and Computer Science (ACCTCS)","2021","2021-01-01","Vol. XY","Proceedings","978-660193179","Tokyo","2019.0","Workshop"
"Proceedings of the Canadian Conference on Artificial Intelligence","International Proceedings of the Canadian Conference on Artificial Intelligence","2021","2021-06-08","Vol. XY","Proceedings","978-225431627","Tokyo","2022.0","Conference"
"Sistemi Evoluti per Basi di Dati","Sistemi Evoluti per Basi di Dati","2021","","22","Journal","nan","","",""
"IEICE Trans. Inf. Syst.","IEICE Trans. Inf. Syst.","2021","2021-03-01","9","Journal","nan","","",""
"Automation, Control, and Information Technology","Automation, Control, and Information Technology","2021","2021-09-15","Vol. XY","Proceedings","978-799940242","Berlin","2021.0","Conference"
"Pattern Recognition Letters","Pattern Recognition Letters","2021","2021-03-16","16","Journal","nan","","",""
"Complex","Complex","2021","","25","Journal","nan","","",""
"International Conference on Semantic Systems","International Conference on Semantic Systems","2021","2021-08-31","13","Journal","nan","","",""
"International Journal of Electrical Engineering & Education","Electrical Engineering & Education","2021","2021-01-27","13","Journal","nan","","",""
"Jurnal Akuntansi Bisnis Dan Humaniora","Jurnal Akuntansi Bisnis Dan Humaniora","2021","2021-01-14","17","Journal","nan","","",""
"IEEE International Conference on RFID-Technologies and Applications","IEEE International Conference on RFID-Technologies and Applications","2021","2021-10-06","Vol. XY","Proceedings","978-496395461","Barcelona","2018.0","Workshop"
"International Conference on Mobile and Ubiquitous Multimedia","International Conference on Mobile and Ubiquitous Multimedia","2021","2021-05-12","2","Journal","nan","","",""
"IEEE Transactions on Geoscience and Remote Sensing","IEEE Transactions on Geoscience and Remote Sensing","2021","2021-10-01","47","Journal","nan","","",""
"Global Health: Science and Practice Journal","Global Health: Science and Practice Journal","2021","2021-03-15","2","Journal","nan","","",""
"2021 International Conference on Electrical Engineering and Photonics (EExPolytech)","2021 International Conference on Electrical Engineering and Photonics (EExPolytech)","2021","2021-06-21","Vol. XY","Proceedings","978-703315941","Rome","2021.0","Conference"
"2021 IEEE International Conference on Big Data (Big Data)","2021 IEEE International Conference on Big Data (Big Data)","2021","2021-12-15","Vol. XY","Proceedings","978-262851510","Barcelona","2021.0","Conference"
"IEEE International Symposium on Quality Electronic Design","IEEE International Symposium on Quality Electronic Design","2021","2021-04-07","37","Journal","nan","","",""
"2021 IEEE Asia-Pacific Conference on Computer Science and Data Engineering (CSDE)","2021 IEEE Asia-Pacific Conference on Computer Science and Data Engineering (CSDE)","2021","2021-12-08","Vol. XY","Proceedings","978-471106194","Paris","2020.0","Conference"
"IEEE Software","IEEE Software","2021","2021-11-01","1","Journal","nan","","",""
"2021 International Conference on Information Control, Electrical Engineering and Rail Transit (ICEERT)","2021 International Conference on Information Control, Electrical Engineering and Rail Transit (ICEERT)","2021","2021-10-01","Vol. XY","Proceedings","978-441149697","Paris","2021.0","Conference"
"Journal of Molecular Structure","Journal of Molecular Structure","2021","2021-08-28","18","Journal","nan","","",""
"Current Opinion in Systems Biology","Current Opinion in Systems Biology","2021","2021-06-30","9","Journal","nan","","",""
"IEEE Wireless Communications Letters","IEEE Wireless Communications Letters","2021","2021-10-01","44","Journal","nan","","",""
"BMC Medical Informatics and Decision Making","BMC Medical Informatics and Decision Making","2021","2021-11-16","27","Journal","nan","","",""
"IEEE International Conference on Software Analysis, Evolution, and Reengineering","IEEE International Conference on Software Analysis, Evolution, and Reengineering","2021","2021-03-01","Vol. XY","Proceedings","978-887972941","New York","2018.0","Conference"
"Quality and Reliability Engineering International","Quality and Reliability Engineering International","2021","2021-05-19","8","Journal","nan","","",""
"International Conference on Soft Robotics","International Conference on Soft Robotics","2021","2021-04-12","Vol. XY","Proceedings","978-238035719","New York","2021.0","Conference"
"2021 9th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","2021 9th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","2021","2021-09-03","Vol. XY","Proceedings","978-468673853","Rome","2020.0","Conference"
"Wireless personal communications","Wireless personal communications","2021","2021-09-01","44","Journal","nan","","",""
"2021 International Conference on Data Analytics for Business and Industry (ICDABI)","2021 International Conference on Data Analytics for Business and Industry (ICDABI)","2021","2021-10-25","Vol. XY","Proceedings","978-119799986","Paris","2020.0","Workshop"
"IEEE Transactions on Circuits and Systems Part 1: Regular Papers","IEEE Transactions on Circuits and Systems Part 1: Regular Papers","2021","2021-08-01","12","Journal","nan","","",""
"Journal of Computational Design and Engineering","Journal of Computational Design and Engineering","2021","","33","Journal","nan","","",""
"Accident Analysis and Prevention","Accident Analysis and Prevention","2021","2021-09-23","28","Journal","nan","","",""
"IEEE Transactions on Biomedical Engineering","IEEE Transactions on Biomedical Engineering","2021","2021-05-14","27","Journal","nan","","",""
"International Instrumentation and Measurement Technology Conference","International Instrumentation and Measurement Technology Conference","2022","2022-05-16","Vol. XY","Proceedings","978-268016286","New York","2022.0","Workshop"
"Data Storage and Data Engineering","Data Storage and Data Engineering","2022","2022-02-25","47","Journal","nan","","",""
"Information Sciences","Information Sciences","2022","2022-06-01","38","Journal","nan","","",""
"EAI Endorsed Trans. Ind. Networks Intell. Syst.","EAI Endorsed Trans. Ind. Networks Intell. Syst.","2022","2022-06-21","6","Journal","nan","","",""
"IEEE-RAS International Conference on Humanoid Robots","IEEE-RAS International Conference on Humanoid Robots","2022","2022-07-15","Vol. XY","Proceedings","978-983565475","Barcelona","2021.0","Conference"
"Proceedings of the International Scientific Conference “Smart Nations: Global Trends In The Digital Economy”","International Scientific Conference “Smart Nations: Global Trends In The Digital Economy”","2022","","Vol. XY","Proceedings","978-307259305","Tokyo","2022.0","Conference"
"2022 12th International Conference on Pattern Recognition Systems (ICPRS)","2022 12th International Conference on Pattern Recognition Systems (ICPRS)","2022","2022-06-07","Vol. XY","Proceedings","978-232074800","Barcelona","2018.0","Conference"
"Unmanned Systems","Unmanned Systems","2022","2022-06-27","13","Journal","nan","","",""
"Conference on Computer and Communications Security","Conference on Computer and Communications Security","2022","2022-11-07","Vol. XY","Proceedings","978-940053178","Berlin","2022.0","Conference"
"Journal of Addictive  Diseases","Journal of Addictive  Diseases","2022","2022-03-11","47","Journal","nan","","",""
"International Conference on Rehabilitation Robotics","International Conference on Rehabilitation Robotics","2022","2022-07-01","Vol. XY","Proceedings","978-526027357","Toronto","2021.0","Conference"
"Journal of Dairy Science","Journal of Dairy Science","2022","2022-10-01","11","Journal","nan","","",""
"International Carnahan Conference on Security Technology","International Carnahan Conference on Security Technology","2022","2022-11-09","Vol. XY","Proceedings","978-779432847","Barcelona","2021.0","Workshop"
"International Conference on Developments in Language Theory","International Conference on Developments in Language Theory","2022","","Vol. XY","Proceedings","978-125597893","London","2018.0","Conference"
"International Journal of Simulation and Process Modelling","International Journal of Simulation and Process Modelling","2022","","47","Journal","nan","","",""
"Petra","Petra","2022","2022-06-29","15","Journal","nan","","",""
"IEEE International Conference on Consumer Electronics","IEEE International Conference on Consumer Electronics","2022","2022-01-07","Vol. XY","Proceedings","978-457089608","London","2021.0","Conference"
"IEEE/ACM International Conference on Human-Robot Interaction","IEEE/ACM International Conference on Human-Robot Interaction","2022","2022-03-07","Vol. XY","Proceedings","978-256140102","Rome","2022.0","Conference"
"2022 3rd International Conference on Communication, Computing and Industry 4.0 (C2I4)","2022 3rd International Conference on Communication, Computing and Industry 4.0 (C2I4)","2022","2022-12-15","Vol. XY","Proceedings","978-170019387","Toronto","2019.0","Conference"
"Engineering applications of artificial intelligence","Engineering applications of artificial intelligence","2022","2022-11-01","23","Journal","nan","","",""
"2022 8th International Conference on Advanced Computing and Communication Systems (ICACCS)","2022 8th International Conference on Advanced Computing and Communication Systems (ICACCS)","2022","2022-03-25","1","Proceedings","978-581020010","Rome","2020.0","Conference"
"2022 6th International Conference on Informatics and Computational Sciences (ICICoS)","2022 6th International Conference on Informatics and Computational Sciences (ICICoS)","2022","2022-09-28","Vol. XY","Proceedings","978-711124441","Tokyo","2021.0","Conference"
"Neural Processing Letters","Neural Processing Letters","2022","2022-03-10","23","Journal","nan","","",""
"Computers in biology and medicine","Computers in biology and medicine","2022","2022-07-29","19","Journal","nan","","",""
"ACM/IEEE International Conference on Model Driven Engineering Languages and Systems","ACM/IEEE International Conference on Model Driven Engineering Languages and Systems","2022","2022-10-23","Vol. XY","Proceedings","978-494103872","Berlin","2022.0","Conference"
"Proceedings of the 2022 6th International Conference on Electronic Information Technology and Computer Engineering","International Conference on Electronic Information Technology and Computer Engineering","2022","2022-10-21","41","Journal","nan","","",""
"Medicine, Science and the Law","Medicine, Science and the Law","2022","2022-08-10","16","Journal","nan","","",""
"IEEE Communications Magazine","IEEE Communications Magazine","2022","2022-07-01","22","Journal","nan","","",""
"European Journal of Obstetrics, Gynecology, and Reproductive Biology","European Journal of Obstetrics, Gynecology, and Reproductive Biology","2022","2022-12-01","19","Journal","nan","","",""
"Computer Communications","Computer Communications","2022","2022-06-01","37","Journal","nan","","",""
"2022 International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)","2022 International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)","2022","2022-11-16","Vol. XY","Proceedings","978-790535292","Rome","2020.0","Conference"
"2022 International Conference on Computational Science and Computational Intelligence (CSCI)","2022 International Conference on Computational Science and Computational Intelligence (CSCI)","2022","2022-12-01","Vol. XY","Proceedings","978-689998862","Tokyo","2020.0","Conference"
"Algorithms","Algorithms","2022","2022-01-17","6","Journal","nan","","",""
"Frontiers in Medicine","Frontiers in Medicine","2022","2022-02-22","26","Journal","nan","","",""
"2022 IEEE Nigeria 4th International Conference on Disruptive Technologies for Sustainable Development (NIGERCON)","2022 IEEE Nigeria 4th International Conference on Disruptive Technologies for Sustainable Development (NIGERCON)","2022","2022-04-17","Vol. XY","Proceedings","978-187612845","New York","2018.0","Conference"
"European Signal Processing Conference","European Signal Processing Conference","2022","2022-08-29","Vol. XY","Proceedings","978-822155412","Paris","2020.0","Conference"
